# CIV.EXE — discovered functions (1142 total)
# fields: addr  seg  name  body_size  param_count  source

1000:1750       1000    FUN_1000_1750                                         89    4  DEFAULT
1000:18d4       1000    FUN_1000_18d4                                         90    2  DEFAULT
1000:192e       1000    FUN_1000_192e                                         28    1  DEFAULT
1000:194a       1000    FUN_1000_194a                                         46    1  DEFAULT
1000:1978       1000    FUN_1000_1978                                         46    1  DEFAULT
1000:19a6       1000    FUN_1000_19a6                                         26    1  DEFAULT
1000:19c0       1000    FUN_1000_19c0                                          7    0  DEFAULT
1000:19c7       1000    FUN_1000_19c7                                          9    0  DEFAULT
1000:19d0       1000    FUN_1000_19d0                                          8    0  DEFAULT
1000:19d8       1000    FUN_1000_19d8                                         26    0  DEFAULT
1000:19f2       1000    FUN_1000_19f2                                         13    0  DEFAULT
1000:19ff       1000    FUN_1000_19ff                                          9    0  DEFAULT
1000:1a08       1000    FUN_1000_1a08                                         52    0  DEFAULT
1000:1a3c       1000    FUN_1000_1a3c                                       1071    0  DEFAULT
1000:1e9c       1000    FUN_1000_1e9c                                         54    4  DEFAULT
1000:1ed2       1000    FUN_1000_1ed2                                        119    1  DEFAULT
1000:1f5c       1000    FUN_1000_1f5c                                         31    3  DEFAULT
1000:1f7c       1000    FUN_1000_1f7c                                         42    1  DEFAULT
1000:1fa6       1000    FUN_1000_1fa6                                         32    1  DEFAULT
1000:1fc6       1000    FUN_1000_1fc6                                         88    0  DEFAULT
1000:201e       1000    FUN_1000_201e                                        121    1  DEFAULT
1000:2098       1000    FUN_1000_2098                                        186    2  DEFAULT
1000:2152       1000    FUN_1000_2152                                        205    2  DEFAULT
1000:2222       1000    FUN_1000_2222                                         68    0  DEFAULT
1000:2266       1000    FUN_1000_2266                                        188    3  DEFAULT
1000:2322       1000    FUN_1000_2322                                        209    6  DEFAULT
1000:23f3       1000    FUN_1000_23f3                                         74    0  DEFAULT
1000:243d       1000    FUN_1000_243d                                         55    4  DEFAULT
1000:2474       1000    FUN_1000_2474                                        130    1  DEFAULT
1000:24f6       1000    FUN_1000_24f6                                        130    5  DEFAULT
1000:2578       1000    FUN_1000_2578                                        226    1  DEFAULT
1000:265a       1000    FUN_1000_265a                                         62    0  DEFAULT
1000:2698       1000    FUN_1000_2698                                        120    1  DEFAULT
1000:272a       1000    FUN_1000_272a                                        238    2  DEFAULT
1000:2826       1000    FUN_1000_2826                                        144    3  DEFAULT
1000:28b6       1000    FUN_1000_28b6                                        114    1  DEFAULT
1000:2928       1000    FUN_1000_2928                                         45    4  DEFAULT
1000:2974       1000    FUN_1000_2974                                         42    5  DEFAULT
1000:299e       1000    FUN_1000_299e                                         38    3  DEFAULT
1000:29c4       1000    FUN_1000_29c4                                         38    3  DEFAULT
1000:29ea       1000    FUN_1000_29ea                                         33    4  DEFAULT
1000:2a30       1000    FUN_1000_2a30                                         89    5  DEFAULT
1000:2a89       1000    FUN_1000_2a89                                         35    5  DEFAULT
1000:2aac       1000    FUN_1000_2aac                                         27    2  DEFAULT
1000:2ac7       1000    FUN_1000_2ac7                                         18    1  DEFAULT
1000:2ad9       1000    FUN_1000_2ad9                                        369    4  DEFAULT
1000:2c4a       1000    FUN_1000_2c4a                                         81    2  DEFAULT
1000:2c9c       1000    FUN_1000_2c9c                                         29    3  DEFAULT
1000:2cba       1000    FUN_1000_2cba                                         30    2  DEFAULT
1000:2cd8       1000    FUN_1000_2cd8                                        401    2  DEFAULT
1000:2e85       1000    FUN_1000_2e85                                        510    3  DEFAULT
1000:3088       1000    FUN_1000_3088                                         90    2  DEFAULT
1000:30e2       1000    FUN_1000_30e2                                         46    2  DEFAULT
1000:3110       1000    FUN_1000_3110                                        646    3  DEFAULT
1000:3396       1000    FUN_1000_3396                                         42    6  DEFAULT
1000:33c0       1000    FUN_1000_33c0                                        211    4  DEFAULT
1000:3493       1000    thunk_FUN_1000_33c0                                    3    4  DEFAULT
1000:3496       1000    FUN_1000_3496                                        284    5  DEFAULT
1000:35f6       1000    FUN_1000_35f6                                         36    4  DEFAULT
1000:363e       1000    FUN_1000_363e                                         65    2  DEFAULT
1000:3680       1000    FUN_1000_3680                                         50    2  DEFAULT
1000:36b2       1000    FUN_1000_36b2                                         43    2  DEFAULT
1000:36de       1000    FUN_1000_36de                                         67    2  DEFAULT
